"","Cell","Batch","Group","ExpLibSize","Step","sizeFactor"
"Cell1486","Cell1486","Batch1","2","57830.0417805025","55","0.966543093373104"
"Cell1487","Cell1487","Batch1","3","68377.7417981932","2","1.14451449898333"
"Cell1488","Cell1488","Batch1","3","53660.4956295426","68","0.889282662057939"
"Cell1489","Cell1489","Batch1","1","49836.9322156607","48","0.814976112993567"
"Cell1490","Cell1490","Batch1","4","65344.0162760341","58","1.06815664280036"
"Cell1491","Cell1491","Batch1","1","55437.2088783696","44","0.905561835351194"
"Cell1492","Cell1492","Batch1","1","70860.9695369737","80","1.16593014530158"
"Cell1493","Cell1493","Batch1","4","72446.4727317306","63","1.18347292377989"
"Cell1494","Cell1494","Batch1","3","55153.3980157257","21","0.88770725819085"
"Cell1495","Cell1495","Batch1","1","61093.554912741","31","0.985612044347663"
"Cell1496","Cell1496","Batch1","3","71980.5439551878","66","1.16565116753345"
"Cell1497","Cell1497","Batch1","4","80171.1531688713","27","1.31816995441602"
"Cell1498","Cell1498","Batch1","4","55305.7130978877","36","0.907055186933539"
"Cell1499","Cell1499","Batch1","4","54359.9655346532","37","0.896847882711357"
"Cell1500","Cell1500","Batch1","2","56204.728735141","45","0.930046237118872"
